strategy,a,n,profit,gas_used,detected,detection_risk,alpha,delta,gas_price,victim_balance,logfile,uuid
greedy,100,1,100,30000,False,1,,,,,greedy_e18a0a54-213e-494d-b688-e0113d288e5d.json,e18a0a54-213e-494d-b688-e0113d288e5d
uniform,20,5,80,150000,False,4,,,,,uniform_421d583a-a5e1-4f38-8fd4-4c719c5ddb2a.json,421d583a-a5e1-4f38-8fd4-4c719c5ddb2a
uniform,20,5,80,150000,False,4,,,,,uniform_85cf1c18-953a-42f6-acf2-1111a3e98cc2.json,85cf1c18-953a-42f6-acf2-1111a3e98cc2
uniform,20,5,80,150000,False,4,,,,,uniform_8e684c7a-43f9-41b9-a65e-250c4d803548.json,8e684c7a-43f9-41b9-a65e-250c4d803548
greedy,100,1,100,30000,False,1,,,,,greedy_780ff552-ad1a-464a-b360-a9acb86f7b3d.json,780ff552-ad1a-464a-b360-a9acb86f7b3d
uniform,20,5,80,150000,False,4,,,,,uniform_43156fd6-d931-4678-90ef-ee34085d3480.json,43156fd6-d931-4678-90ef-ee34085d3480
greedy,100,1,100,30000,False,1,0.3775,0.3775,1.0,100000.0,greedy_fc7d9e87-8b20-49f4-b207-3c77cbede9c7.json,fc7d9e87-8b20-49f4-b207-3c77cbede9c7
optimized,100,1,200,30000,False,1,,,,,optimized_cd4b566f-048f-425f-a7db-29255a99ccee.json,cd4b566f-048f-425f-a7db-29255a99ccee
uniform,20,5,80,150000,False,4,,,,,uniform_95561724-769b-43ae-8e20-47ce32af060c.json,95561724-769b-43ae-8e20-47ce32af060c
greedy,100,1,100,30000,False,1,,,,,greedy_058ff926-7ec2-4b54-a8d2-fed037667d49.json,058ff926-7ec2-4b54-a8d2-fed037667d49
optimized,100,1,200,30000,False,13,1.325e+17,1.325e+17,177.0,100000.0,optimized_fb32c835-a19e-4eba-ae22-d23d39b1854f.json,fb32c835-a19e-4eba-ae22-d23d39b1854f
optimized,100,1,200,30000,False,1,,,,,optimized_d7e9e9f6-5b14-4e84-9731-a0b376807d08.json,d7e9e9f6-5b14-4e84-9731-a0b376807d08
optimized,100,1,200,30000,False,1,,,,,optimized_412b0443-77c5-44d1-93d0-65fa0d54bbe9.json,412b0443-77c5-44d1-93d0-65fa0d54bbe9
optimized,100,1,200,30000,False,1,0.01,0.3775,5.0,100000.0,optimized_69fa189a-bd58-4a76-a74f-d0abbce2e71e.json,69fa189a-bd58-4a76-a74f-d0abbce2e71e
uniform,20,5,80,150000,False,50,1.325e+17,1e+16,5.0,100000.0,uniform_c1cc35eb-65bb-4395-8301-5ae7e89e59b7.json,c1cc35eb-65bb-4395-8301-5ae7e89e59b7
optimized,100,1,200,30000,False,25,2.55e+17,2.55e+17,5.0,100000.0,optimized_e708a570-7bc6-414d-b4e9-3dbe48cd5f19.json,e708a570-7bc6-414d-b4e9-3dbe48cd5f19
greedy,100,1,100,30000,False,1,,,,,greedy_d28cdd53-7649-42fc-ae2b-bd73db28726d.json,d28cdd53-7649-42fc-ae2b-bd73db28726d
optimized,100,1,200,30000,False,25,2.55e+17,2.55e+17,5.0,10000.0,optimized_aa46c042-07b7-4ef9-bae9-576ed56a0545.json,aa46c042-07b7-4ef9-bae9-576ed56a0545
uniform,20,5,80,150000,False,4,,,,,uniform_9e6e079d-53fe-4683-a293-30ab085316b0.json,9e6e079d-53fe-4683-a293-30ab085316b0
greedy,100,1,100,30000,False,37,3.775e+17,2.55e+17,177.0,1000000.0,greedy_eeec50e5-e8ae-4280-be6b-c8a709cd1091.json,eeec50e5-e8ae-4280-be6b-c8a709cd1091
uniform,20,5,80,150000,False,77,2.55e+17,2.55e+17,1.0,1000.0,uniform_13d59588-f4a8-44b8-b338-04478810a64a.json,13d59588-f4a8-44b8-b338-04478810a64a
greedy,100,1,100,30000,False,1,,,,,greedy_5964f3a2-9426-469d-a4ba-54f4ff0fa50a.json,5964f3a2-9426-469d-a4ba-54f4ff0fa50a
uniform,20,5,80,150000,False,4,,,,,uniform_746d0f1a-9d34-499d-acdc-03984f50e722.json,746d0f1a-9d34-499d-acdc-03984f50e722
uniform,20,5,80,150000,False,96,5e+17,5e+17,1000.0,100000.0,uniform_09fef8ac-5c6c-43c5-98a8-45675e1f93cc.json,09fef8ac-5c6c-43c5-98a8-45675e1f93cc
optimized,100,1,200,30000,False,1,1e+16,5e+17,1.0,1000000.0,optimized_ff8710ea-8685-4113-917a-c3a77fe3d567.json,ff8710ea-8685-4113-917a-c3a77fe3d567
optimized,100,1,0,30000,False,1,1e+16,1.325e+17,1.0,1000.0,optimized_de8d93d3-7a0b-4a96-941c-5db75aaa64d0.json,de8d93d3-7a0b-4a96-941c-5db75aaa64d0
